tweet,label,id
rt did you phin coffee club cures and protects against the coronavirus themoreyouknow covi ,1,0.0
looks like the corona virus is antiblack and i m okay with that ,0,1.0
 they ll just gonna monitored it if they were possitive with ncov virus but y all know they ll gonna say that the diagnosis is pneumonia only a don t tnk this gov is capable to predict if it is or their just hiding the truth for a certain reason ,1,2.0
safe distancing is the only cure to covi hich part of stay away from each other s faces do you not understand if death is the only way then let it be spreader guilt not included ,1,3.0
doses and mimosaschampagne and cocainehelp to get me through had it right covi ,0,4.0
water can cure corona virus infections all scientists please stop research ,1,5.0
don t drink the kool aid don t inject the lysol now back to our regularly scheduled chaos whattheactualfuck covi ,1,6.0
alcoholics love posting that thing that talks about how alcohol kills coronavirus with the caption haha i ll be safe then sweetie you have bigger problems,1,7.0
 i heard that the alcohol might be a cure to it i guess my country is still coronavirus free but we ll never know ,1,8.0
this is the coronavirus content we need,0,9.0
 why novel it was sars virus china synthesized it in a lab to be more contagious using as bio weapon worldwide now to weaken other economies globally covid ,1,10.0
a big scandal at news they got caught using really gruesome fake footage of the turks bombing in syria a real disgrace tomorrow they will ask softball questions to sleepy joe biden s son hunter like why did ukraine china pay you millions when you knew nothing payoff donald j trump october ,1,11.0
alex jones told to stop selling bogus coronavirus cure toothpaste via ,1,12.0
 ogbeni go and find cure to corona virus s and stop telling us rubbish,1,13.0
 acetic acid from natural vinegar like old kombucha or another old vinegar effective to kill tuberculosis virus and heal people with tbc tbc virus is very strong virus than covi corona have a high speed on spread but very weak in defense ,1,14.0
china coronavirus is spreading what precautions is the u s taking and is there a vaccine ,1,15.0
is remdesivir a miracle drug to cure coronavirus don t get your hopes up yet by via covi ,1,16.0
rt if you sucked the water out of the wash rag when you were a kid you re immune to the coronavirus,1,17.0
 the cure can t be worse than the disease person who hasn t tried the disease coronaviruspandemic,0,18.0
coronavirus may have originated in lab linked to china s biowarfare program the sourcew washington times ,1,19.0
one of the relatives literally suggested that drinking alcohol is the ultimate cure for coronavirus modiji should ban whatsapp forwards instead of quitting social media ,1,20.0
 heiniken has no immune system to handle this corona virus ,1,21.0
 how much did communist china pay you to say that they would love to cover up any connections between this bio weapon amp themselves ,1,22.0
rt your cocaine might be contaminated with coronavirus but i ll test it for free,1,23.0
sen mcconnell casts vote as man behind him gives thumbs down at altonphoto kysenpic michael clevenger november ,1,24.0
