tweet,label,id
RT @PhinCoffeeClub: Did you Phin Coffee Club cures and protects against the coronavirus? #TheMoreYouKnow #COVID19,1,0
Looks like the corona virus is antiblack and Iâm okay with that https://t.co/CMwiAIeaz6,0,1
"@gmanews They'll just gonna monitored it if they were possitive  with nCov virus, but y'all know they'll gonna say that the diagnosis is pneumonia only! 🤔
A don't tnk this gov is capable to predict if it is?
or their just hiding the truth for a certain reason?",1,2
"Safe DISTANCING is the ONLY cure to #COVID19

Which part of stay away from each other's faces do you not understand? If DEATH is the only way, then let it be.. 

Spreader GUILT not included. https://t.co/gbkMn37ZR8",1,3
"Doses and mimosas
Champagne and cocaine
Help to get me through @CHERUBlamusica had it right. #COVID19",0,4
"Water can cure Corona Virus infections. All scientists, please stop research. https://t.co/3kXCy0jexy",1,5
don’t drink the kool aid...don’t inject the Lysol...now back to our regularly scheduled chaos ...#WhatTheActualFuck #covid19,1,6
alcoholics love posting that thing that talks about how alcohol kills coronavirus with the caption “haha I’ll be safe then” sweetie you have bigger problems,1,7
@ToastyKiiro26 I heard that the alcohol might be a cure to it.. I guess my country is still coronavirus free :/ But we'll never know..,1,8
this is the coronavirus content we need,0,9
"@ChinaDaily Why novel? It was #sars virus! #china synthesized it in a lab to be more contagious! Using as bio-weapon worldwide now! To weaken other economies globally! 

#Covid_19",1,10
"A big scandal at @ABC News. They got caught using really gruesome FAKE footage of the Turks bombing in Syria. A real disgrace. Tomorrow they will ask softball questions to Sleepy Joe Biden’s son, Hunter, like why did Ukraine & China pay you millions when you knew nothing? Payoff? — Donald J. Trump (@realDonaldTrump) October 15, 2019",1,11
Alex Jones told to stop selling bogus 'coronavirus-cure toothpaste' https://t.co/cRN7Zlov6D via @BBCNews,1,12
@Prettywummex_ Ogbeni go and find cure to Corona virus's and stop telling us rubbish,1,13
"5% acetic acid from natural #vinegar like old #kombucha, or another old vinegar, effective to kill tuberculosis virus, and heal people with TBC. TBC virus is very strong virus than #COVID19. Corona have a high speed on spread but very weak in defense. https://t.co/mIc1nRFq6I",1,14
China coronavirus is spreading—what precautions is the U.S. taking and is there a vaccine? https://t.co/ts4bVJWzba,1,15
"Is #remdesivir a miracle drug to cure #coronavirus? Don't get your hopes up yet, by @NialWheate @bart_apotek https://t.co/kcpkFs6jKx via @ConversationEDU #COVID19",1,16
RT @AlexisEllisss: if you sucked the water out of the wash rag when you were a kid you’re immune to the coronavirus,1,17
"“The cure can’t be worse than the disease!” - person who hasn’t tried the disease. 
 #CoronavirusPandemic",0,18
"Coronavirus may have originated in lab linked to China’s biowarfare program  - https://t.co/wdzLBoZqbd - @washtimes

Consider the sourceW  Washington Times...",1,19
One of the relatives literally suggested that drinking alcohol is the ultimate cure for Coronavirus. Modiji should ban WhatsApp forwards instead of quitting social media.,1,20
@SStralberg #Heiniken has no immune system to handle this #Corona virus! https://t.co/KByOieirA7,1,21
@davidgura How much did communist China pay you to say that? They would love to cover up any connections between this bio weapon &amp; themselves.,1,22
RT @MykaFox: Your cocaine might be contaminated with coronavirus but I’ll test it for free,1,23
"Sen. McConnell casts vote as man behind him gives thumbs down at @bellarmineU. @courierjournal@ALTONPHOTO#kysenpic.twitter.com/EFAqxMfbMd — Michael Clevenger (@MClevenger_CJ) November 4, 2014",1,24
"#coronavirus #MadeInChina 

Coronavirus was made in a bio weapon lab, and released by the #ChineseCommunistParty to not only kill off their own, but to use it for biological terrorism. 

Now a Chinese scientist"" is caught sneaking in MERS and SARS into the US.",1,25
"PROPHET MUHAMMAD’S (PEACE AND BLESSINGS OF ALLAH BE UPON HIM) CURE FOR CORONAVIRUS:
https://t.co/g7ktESyZ3n
#News #Covid_19 #coronavirusuk",1,26
Fun fact: If you drink @Clorox or @Lysol you probably won't die of #COVID19,1,27
when the restrictions are lifted and we are able to go back out what will our immune responses be? we have not primed our immune system to this virus&amp;therefore there is a lack of antibodies that are ready to fight it. #COVID #CoronavirusOutbreak,1,28
ive just seen this in the fb amp ive had to copy it amp share im crying with laughter coronavirus covid2019 toiletpaper,0,29
epidemiologist marc lipsitch director of harvards center for communicable disease dynamics in the us it is the opposite of contained,0,30
"Lockdown protest sweep across USA
""It is not acceptable, we are not totalitalianism society, we are constitutional Republic"" 
""Freedom over tyranny""
""It is not a plague, #COVID19 is just a flue""
""Facts not fear"" they said 
The rest of the world ""Americans r only smart in movies"" https://t.co/VaUstK8seB",1,31
"For those of you unaware that #Trump is a #threat to your #health
 
 See thread where makers of Lysol and Dettol warned under no circumstance should disinfectant be used internally
 
 #Poison Control is 1-800-222-1222
 
 #Covid_19 https://t.co/uLC0gXrlCv",1,32
"#COVID__19
Repurposed drug - shortest &amp; safest way for #coronavirus treatment.
#ENU200 - oral #COVID cure 
#ENU200 - prior-approved drug capable of blocking the #coronavirus proteins - spike S glycoprotein, and Mpro. https://t.co/FSCD1J1M8s",1,33
6 mar 20 7pm gmt2 of confirmed covid19 cases in the region afghanistan 1 bahrain 56 egypt 15 ir iran 4747 incl 124 deaths iraq 38 incl 2 deaths jordan 1 kuwait 58 lebanon 16 morocco 2 oman 16 opt 7 pakistan 6 qatar 11 tunisia 1 ksa 5 uae 29,1,34
"#FITWebQoof | Can salt and turmeric gargle cure #COVID19? We bust the COVID-19 related fake claim. | #NetaFactCheck
https://t.co/PHaUagsMa6",1,35
"left out Chinese wet markets, bioweapon labs
#covid19 https://t.co/wYNFHAybrt",1,36
people who turn on the shower while they’re standing under it are immune to coronavirus,1,37
"@realDonaldTrump you have been warned by #MilesGuo in Jan that CCP has a plan to spread the leaked lab made #BioWeapon #Coronavirus to the World by provided false numbers,  purchased all #PPE worldwide by China State Owned companies, and corrupt @WHO to provide false info ..(next",1,38
RT @nthnashma: If I told you that flossing cured Coronavirus would you people finally do it,1,39
"Irresponsible — not b/c this drug will not work, but b/c we just don’t know. Touting it as a cure @ this stage will expose people 2 dangers. #CoronavirusPandemic #Hydroxychloroquine  https://t.co/Y1gEpvIb9b",1,40
"@DineshDSouza It is the latter .... they know what extra is being delivered with the virus .... why do you think China has been trying to hide the numbers? Personally, I think US is at cold war with China and this is a bio weapon #coronavirus #CoronavirusOutbreak",1,41
If we could get more like this and less shit like the Imagine video we’d be cured of coronavirus already https://t.co/Pov0RS6GL6,0,42
"In order to get elected, @BarackObama will start a war with Iran. — Donald J. Trump (@realDonaldTrump) November 29, 2011",1,43
Bleach will cure the Coronavirus 👀,0,44
"DO NOT ingest or inject Lysol or any other Disinfectant as a treatment for #COVID19.

Household DISINFECTANTS are POISONOUS and can cause SERIOUS HARM or DEATH if swallowed or injected.

Call the Poison Control Center for info about safe use of products: 212-764-7667

@NYCHealthy https://t.co/gNBwIj52wd",1,45
"@asgard_indust @Athene_jones How do you know that?
There are bio weapons aren’t there. 
It’s looking like it came from a laboratory in Wuhan that was experimenting on Corona Viruses in bats. 
Your reaction says to me you’re brainwashed.",1,46
Lysol kills CoronaVirus but I didn’t tell y’all,1,47
😂W.H.O. doesnt want you to know that UV Light can cure #COVID19 #coronavirus so they post this: https://t.co/lzeHvukffN,1,48
"When death seems near,
 But out of reach,
 The miracle cure:
 Drink some bleach*!
 
 Injecting works,
 But it's hard to teach,
 Get it down you:
 Drink some bleach*!
 
 Chlorine, peroxides,
 Perhaps one of each!
 Choose your poison:
 Drink some bleach*!
 
 (*Don't drink bleach. 💀)
 #COVID19 https://t.co/B9mRnzeGyU",1,49
Wish he becomes the role model of getting cured by self isolation! https://t.co/0xFKtzL8tE,0,50
"@washingtonpost #Covid_19 originated in Wuhan laboratory not as a bio weapon, but as part of China's effort to demonstrate that its efforts to identify and combat viruses are equal to or greater than the capabilities of the United States, multiple sources have said. Bravo China 👍",1,51
"Gotta Love Wuhan Bio Weapon (Screw you thats what it is) Virology Lab in China for their studies on Bats, 1,000 miles away from their lab in Wuhan China in isolating the Chinese Virus. 

Causing this current crisis is more likely than not.
#coronavirus 

https://t.co/8XczqRwSuf",1,52
"I Was reading about herbal medicinal cure of 16th Century Mughal India for respiratory sickness, It may help in #CoronavirusOutbreak
Simple formula.
Pot of water, a table spoon of Haldi"" (Tumeric), tea spoon of Ajwain (Carom) seeds &amp; 7 slice ginger.",1,53
"@BDUTT Please be cautious! Avoid Meat, Poultry and Egg to safeguard against #CoronaVirus!
Prevention is better than cure!

@drsanjeevbalyan @ShekharGupta @sudhirchaudhary @SwetaSinghAT @anjanaomkashyap @indiatvnews @chitraaum @RajatSharmaLive @RShivshankar 

https://t.co/Ka2lvLdWqP https://t.co/eyqf5GgxBk",1,54
"Just inject some Lysol in the lungs, it’s the cure #COVID19 #FacePalm https://t.co/OXkAB93Pqz",1,55
corona has no CHANCE against my essential oils mom.,1,56
Im immune to the coronavirus. That shit can catch fade with me anyday,1,57
China has its population under total surveillance control. Even the political prisons in China are under total control. Beijing is selling us BS the #COVID19 virus had leaked from the Wuhan bioweapons lab instead of deliberate release.,1,58
"We continue to pursue those that place public health at risk. With @FTC, we issued a warning letter to Neuro XPF, which sells cannabidiol (CBD) products with the misleading claim these products can mitigate, prevent, treat, diagnose, or cure #COVID19.  https://t.co/o0KbfVxzNr",1,59
"Folks, PLS don't do this. They're CRAZY. QAnon-ers’ Magic Cure for Coronavirus: Just Drink Bleach! https://t.co/I2Q2vQ9Q1A via @thedailybeast",1,60
BOMBSHELL: Taxpayer-funded NIH funneled $3.7 million to Wuhan virus research lab believed to have engineered the #coronavirus #COVID2019 #bioweapon – https://t.co/iYInHPzjC7 https://t.co/L2idYnlq5Y,1,61
Keeping ppl off Ventilators is the goal! #FlattenTheCurve by administering the cure would work best! #Hydroxychloroquine  a 55 yr old Malaria drug teamed with Zinc Sulfate ends #covid19! Demand #bcpoli investigate this cure! #cdnpoli riddled with Agenda? https://t.co/5LmWQDdRRi,1,62
"When you notice this 1st symptom itself go to doctor. Don’t wait for 2nd &amp; 3rd stage which would be dangerous. The sooner you seek medical assistance, the easier the cure will be. #coronarvirus https://t.co/gGTxZn2JJp",1,63
Will you get the corona virus vaccine? #coronavirus #ChinaVirus #vaccine,1,64
"WUHANGATE – 4. “Covid-19 manipulated, CHINA-US Hidden Affair”. Class-Action for Bio-Weapon in Texas #covid19nz #coronavirus #covid19  https://t.co/tioM57yOzI via @veteranstoday",1,65
Coronavirus stuff is getting out of hand. Someone please figure out a way to cure this thing!!,1,66
Why Soap and Water Kills the Corona Virus and Prevents Spreading - Dr Al... https://t.co/oP2Ca3TDKL via @YouTube   @realDonaldTrump  @POTUS KAG Forever!!!,1,67
".@joeNBC you RT’d a video I shot that was stolen by an alt-righter who added a fake caption. You should delete and publically correct it. pic.twitter.com/GiMOYNGiul — Shane Bauer (@shane_bauer) August 29, 2017",1,68
RT @maxguwapo: The people who used to chew on these as a kid are immune to coronavirus. https://t.co/1MQntesXw9,1,69
@BeautifulRicky @cnnbrk @MSNBC @JoeNBC @maddow @Lawrence @SRuhle @AC360 Did 45 ask if steroids cure covid19?,0,70
"if you’ve ever been in the mackinaw river growing up, you’re immune to the corona virus",1,71
"BREAKING EXCLUSIVE
 China has developed COVID-19 vaccine and Pakistan is going to receive it pretty soon making Pakistan one of the first few countries in the world to launch COVID-19 vaccine! Kudos to China Synopharm Intl Corp. and National Institute of health Pakistan
 #COVID19 https://t.co/wZP51ZdNDJ",1,72
2 patients has died but i get to write ielts unu nakwa echecki,0,73
trigger warning this man was too afraid hed infect his family and thought he wouldnt get proper treatment because theyre poor so he just took his own life the government needs to assure filipinos that when they got the virus they can go to a hospital amp be treated for free,1,74
This shutdown cure is worse then the virus! #BackToWorkNOW #covid19,0,75
"Thank the good Lord, we want to hear from Scientists &amp; not the idiot @RealBenCarson 
Lysol Gets Rid Of Coronavirus And Trump At Daily Briefings - https://t.co/rmA4vL2Z4g",1,76
Americans must understand that their government has been PAYING the COMMUNIST CHINESE to develop &amp; experiment with BIOWEAPONS at the Wuhan facility! The U.S. government is outsourcing the development of bioweapons to our America's ENEMIES! #Pandemic #Outbreak #COVID19 #Lockdown https://t.co/aln0Z3sgdY,1,77
"@KeenMangos Great, China tries to make a bio weapon to kill Hong Kong and now we all have to die because they fucked it up

Great",1,78
Don't Drink the Trump-Aid! Should we have to tell people that drinking disinfectants are dangerous? @BlakeSpurgin talks about this and more! #PBNO #COVID19 #TrumpAid #LysolAid #DoNotTryThisAtHome https://t.co/X4lPlFAp55,0,79
"#Epidemic response group says starts work on 3 possible #China virus #vaccines
#disease #CEPI #coronavirus  https://t.co/4dR9OWQusK",1,80
I vote that @DevinNunes take the first stab at ingesting Lysol to fight #COVID19,1,81
As soon as President @realDonaldTrump heard that the #Coronavirus was a problem in China he shutdown entry into the United States from China.  This saved many lives!  #TrumpTownHall https://t.co/a5bdOwe1i3,1,82
@ndtv They all are Immune to Corona virus #Covid_19 #CoronavirusOutbreak,1,83
Omg... #Kingdomchurch in south london is selling an oil to inhale which apparently cures #coronavirus ...,1,84
"Hey @realDonaldTrump which disinfectant is best if I want to get it inside to prevent #coronavirus? Lysol, Clorox, Pinesol? Which one do you like? #COVID19",1,85
italy 60 million people put under lockdown more than 9000 cases reported it was 231 two weeks ago all sporting events suspended all schools universities closed theatres gyms bars funerals and weddings barred unprecedented coronavirus,1,86
No offense @A_baumannii but you’re not our top infectious agent right now (unless you can offer a cure for #COVID19) https://t.co/Sn9SkwXshs,1,87
THIS HIT IS GONNA CURE THE CORONAVIRUS https://t.co/94NevFi2VU,1,88
"WHAT IF, this CoronaVirus is a bioweapon that was created under the surveillance of the Chinese Government and they had to test it out if it works or not 🤔",1,89
"I ain’t dead bitch im BIG UP — PNBROCK (@pnbrock) December 11, 2019",1,90
